
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36027,"Dutchess, NY",2,Chain-type quantity indexes for real GDP,72.689,74.656,79.166,82.453,84.025,84.241,87.698,92.347,93.272,96.699,98.420,97.861,99.011,97.087,97.785,97.393,100.000,99.354,102.376,97.104,103.890,107.179
36027,"Dutchess, NY",3,Current-dollar GDP (thousands of current dollars),8713956,8973963,9469236,9927214,10261078,10445102,10987828,11549155,11788334,12229408,12536016,12672923,13034580,12998153,13384638,13544290,14140113,14339922,15102640,14705366,16327995,17859624
36029,"Erie, NY",1,Real GDP (thousands of chained 2017 dollars),45109097,45742439,46483710,47777760,47835257,49045298,49858143,50538686,51011838,52298001,51665538,53656459,53743185,55343375,56784096,57064333,56612266,57348021,58833333,57185300,59608198,61513170
36029,"Erie, NY",2,Chain-type quantity indexes for real GDP,79.681,80.800,82.109,84.395,84.496,86.634,88.070,89.272,90.107,92.379,91.262,94.779,94.932,97.759,100.304,100.799,100.000,101.300,103.923,101.012,105.292,108.657
36029,"Erie, NY",3,Current-dollar GDP (thousands of current dollars),32464920,33593181,34729091,36550436,37576990,39711314,41365431,42665120,43932735,45480463,45581724,48460721,49454774,51987532,54745488,56146051,56612266,58787327,61621230,61173013,65858689,72586599
36031,"Essex, NY",1,Real GDP (thousands of chained 2017 dollars),1436176,1481773,1499194,1519785,1487549,1500727,1492039,1504468,1590891,1611284,1643926,1659525,1698335,1650158,1606188,1628237,1584008,1600315,1633581,1589630,1692277,1651212
36031,"Essex, NY",2,Chain-type quantity indexes for real GDP,90.667,93.546,94.646,95.946,93.910,94.742,94.194,94.979,100.435,101.722,103.783,104.768,107.218,104.176,101.400,102.792,100.000,101.030,103.130,100.355,106.835,104.243
36031,"Essex, NY",3,Current-dollar GDP (thousands of current dollars),977237,1033045,1066027,1109578,1125408,1181998,1214810,1252295,1355792,1385587,1431409,1474956,1543806,1535186,1537575,1591744,1584008,1645390,1720963,1711381,1894603,1976368
36033,"Franklin, NY",1,Real GDP (thousands of chained 2017 dollars),1582483,1618567,1678777,1728690,1715291,1730918,1777671,1830930,1842528,1959211,2002000,1979927,1972823,1907326,1866923,1905359,1906558,1882900,1930257,1844355,1921925,1993979
36033,"Franklin, NY",2,Chain-type quantity indexes for real GDP,83.002,84.895,88.053,90.671,89.968,90.788,93.240,96.033,96.642,102.762,105.006,103.848,103.476,100.040,97.921,99.937,100.000,98.759,101.243,96.737,100.806,104.585
