"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",33,3,2005,5.849298868042531,1688.7278562791869
"USA",33,4,2005,53.08500071238290671,19324.109599733988452
"USA",33,5,2005,160.684220442912270169,55915.009877072052932
"USA",33,6,2005,28.967249952343746586,8160.127907398120954
"USA",33,7,2005,116.2986326029816582,34649.120081335378015
"USA",33,8,2005,32.98780701224387237,9992.889463580444423
"USA",33,9,2005,45.7743498139561357,15426.5936319720892
"USA",33,10,2005,1279.169413822214555955,349646.717361598882887
"USA",33,11,2005,57.84039022038410125,19464.97885130659242
"USA",33,12,2005,14.07243115396701679,4225.104213811196346
"USA",33,13,2005,79.00242324055116906,28374.82287643778064
"USA",33,14,2005,151.228192256514196686,49360.531796278796789
"USA",33,15,2005,99.03447148813136250,25274.55363628743787
"USA",33,16,2005,373.760202383367907175,118497.306755276421140
"USA",33,17,2005,1564.11486712212943884,440863.6408500576360106
"USA",33,18,2005,70.726249400640172765,23274.180670021336141
"USA",33,19,2005,9.1166898571961800,2589.15542940355836
"USA",33,20,2005,92.842972076992232404,32828.532395173110202
"USA",33,21,2005,174.737845223786868443,56295.497226797961059
"USA",33,22,2005,225.57835439559901045,69635.409216091311346
"USA",33,23,2005,55.760758455151913454,13633.9274780305776435
"USA",33,24,2005,0.64580299580729171,132.11467402889204
"USA",33,25,2005,0.3351508801388889,46.690840347260995
"USA",33,26,2005,261.72983916671669216,79242.962347555740957
"USA",33,27,2005,10.58487657619357574,2874.039683957586345
"USA",33,28,2005,35.22068804755642741,11790.126189590139418
"USA",33,29,2005,55.36773925733286138,15454.556287864614563
"USA",33,30,2005,18.8269039085763807,5472.12354692334744
"USA",33,31,2005,29.629145586842446596,9442.311528037731092
"USA",33,33,2005,11.62543278211371657,2074.53819692894737
"USA",33,34,2005,94.801777462771234126,30269.475343478396889
"USA",33,35,2005,83.11978594807079507,23394.373865831890663
"USA",33,36,2005,23.667629187402364735,6937.14644600635094
"USA",33,37,2005,125.63140313679887913,38409.771958501472073
"USA",33,38,2005,12.29242814825737848,3253.759645622132452
"USA",33,39,2005,97.793834978904136690,25831.94918493972470
"USA",33,40,2005,58.37041283596571490,21876.741075799897236
"USA",33,41,2005,24.78380613911241992,7999.696106193467876
"USA",33,42,2005,1.583052920501302174,295.112159862369884
"USA",33,43,2005,152.91436844840706058,56708.69210610198788
"USA",33,44,2005,10.34901867937500896,3455.385533131806926
"USA",33,45,2005,19.520049906380191444,6322.748232420516961
"USA",33,46,2005,1217.354175887094186709,333703.298291351887818
"USA",33,47,2005,326.71484500301841069,115129.147653839440742
"USA",33,48,2005,11.8114649174826422,4024.30911092378684
"USA",33,49,2005,22.51505797513672278,8327.988527513501426
"USA",33,50,2005,42.27260480432290746,12778.022296571653696
"USA",33,51,2005,9.02174572610677199,2569.187185364044334
"USA",33,52,2005,90.0215823479448486,24958.24361155589221
"USA",33,53,2005,159.29684523573140494,46897.704491846244048
"USA",33,54,2005,75.02296006723301358,24076.650127082590941
"USA",33,55,2005,29.3225739241015549,9287.3000283943828
"USA",33,56,2005,35.08664647847437822,11735.614177875130404
"USA",33,57,2005,94.351837369377164666,29701.306205494471905
"USA",33,58,2005,251.040808507171941647,94013.163055852348620
"USA",33,59,2005,56.7568667280881222,20794.38330709412434
"USA",33,60,2005,42.66362183910374633,11261.413513385040152
"USA",33,61,2005,73.37092173373072353,23915.866853567489364
"USA",33,62,2005,22.7849806342773593,6771.97286877374038
"USA",33,63,2005,14.587083861009119816,3841.31927515423386
"USA",33,1,2006,66.45693230582681338,22986.724629845263344
"USA",33,2,2006,193.22177666863133265,62046.43417590585697
"USA",33,3,2006,1.34662006165581631,305.813780937939427
"USA",33,4,2006,33.929740872675751556,12427.819341101944655
"USA",33,5,2006,187.267100265957112234,67901.900607291546726
"USA",33,6,2006,27.76925023479600286,8631.72395203988501
"USA",33,7,2006,85.29449146319648613,26712.751956148213021
"USA",33,8,2006,25.486698620186676,7748.6493091695465
"USA",33,9,2006,115.11638040285362487,43014.360556459378424
"USA",33,10,2006,1069.51410788414389678,293831.046231564292471
"USA",33,11,2006,86.35947061754351236,29724.493089583369896
"USA",33,12,2006,73.63618345524305480,26131.24368719456815
"USA",33,13,2006,117.193522535295117554,40162.888375881668955
"USA",33,14,2006,139.56279134665398914,45700.833821416359155
"USA",33,15,2006,35.91398720255416732,9497.172642675933979
"USA",33,16,2006,306.275408763845832456,100189.132319862400085
"USA",33,17,2006,562.141678194102388895,157211.047186129943487
"USA",33,18,2006,81.057289423038207386,28281.513229076233367
"USA",33,19,2006,22.57118707218527900,7576.251319163281361
"USA",33,20,2006,84.938415843949616086,31486.830819316215715
"USA",33,21,2006,84.47108542470268858,30488.792152707415354
"USA",33,22,2006,131.51898122777563044,42602.009076240803011
"USA",33,23,2006,52.1136095540517217,10098.544147876349663
"USA",33,24,2006,0.9981028036545139,198.25089552816604
"USA",33,25,2006,0.49602288298177087,56.042048273393700
"USA",33,26,2006,150.10194751478722699,46527.740866928628798
"USA",33,27,2006,5.233157521705729620,1538.100226817163573
"USA",33,28,2006,60.44655583795361079,21743.224473379515701
"USA",33,29,2006,53.72997794468317022,15675.593797031583386
"USA",33,30,2006,19.21743674616536169,6250.91971715647659
"USA",33,31,2006,21.379031549861100025,7161.194046235344685
"USA",33,32,2006,0.35155124507378477,65.13733732887135
"USA",33,33,2006,6.15226823292100921,1022.19924546239777
"USA",33,34,2006,95.496191169509529417,31001.699959197511128
"USA",33,35,2006,58.414503748708792854,16850.249034771742945
"USA",33,36,2006,11.34471195381727273,3284.581791021117704
"USA",33,37,2006,141.02199713320323054,42715.16318068443247
"USA",33,38,2006,16.1249264014301265,4374.96647801381198
"USA",33,39,2006,51.05962550933155117,13758.277075594258625
"USA",33,40,2006,60.00580525588109702,21512.51138178727857
"USA",33,41,2006,35.5213927983572716,10830.40197467617376
"USA",33,42,2006,0.41037513958550354,60.289166801693354
"USA",33,43,2006,205.436812767723799345,74196.145546925531106
"USA",33,44,2006,5.7600976665885431,1873.4016732527960
"USA",33,45,2006,16.55561367571614292,5839.83458028349178
"USA",33,46,2006,356.692471033521643030,91261.368507188364078
"USA",33,47,2006,384.32199580507045624,135647.01066083264817
"USA",33,48,2006,17.37985254357421508,6236.816187919294294
"USA",33,49,2006,28.80119472918621569,10304.097728871202737
"USA",33,50,2006,34.7864083582573782,12116.10639326253444
"USA",33,51,2006,5.56435274493272784,1665.80762342824983
"USA",33,52,2006,46.144683586007017885,13052.385245438160022
"USA",33,53,2006,210.81495956899310294,62966.136905178728409
"USA",33,54,2006,158.65396880234393543,51540.053858517017703
"USA",33,55,2006,62.26198184115663506,22142.24893628458981
"USA",33,56,2006,60.285779835881098085,21450.481951012450616
"USA",33,57,2006,116.454578910551240826,37804.348653295368254
"USA",33,58,2006,190.56163772244543663,71869.839939437366238
"USA",33,59,2006,107.968807560707405116,40927.76544518176629
"USA",33,60,2006,33.6322766390277852,8987.26300125312523
"USA",33,61,2006,83.28807291662127523,28251.660183649880075
"USA",33,62,2006,32.8925906945594573,10407.246744459348
"USA",33,63,2006,14.07951401652778160,4038.68602257562202
"USA",33,1,2007,115.879401931862078135,41555.629820574956591
"USA",33,2,2007,327.73089567999047487,105541.29639875769089
"USA",33,3,2007,2.2242761455881078,566.40623571455743
"USA",33,4,2007,44.41156754432069161,16791.76654743088094
"USA",33,5,2007,245.09890582000196699,87137.90616003197071
"USA",33,6,2007,27.50259928031250358,7916.603313253194266
"USA",33,7,2007,183.32144168701371127,55938.909436324379416
"USA",33,8,2007,58.02028160805106627,19181.766581677955225
"USA",33,9,2007,117.085955969342368014,45051.402135618252054
"USA",33,10,2007,814.353475443066944244,228187.715815676986031
"USA",33,11,2007,63.76296598606120628,22733.473594181711368
"USA",33,12,2007,32.445213760136716885,11589.755129726719085
"USA",33,13,2007,107.14143873085917088,39322.168215550677515
"USA",33,14,2007,119.85496460913834889,40393.154956732890258
"USA",33,15,2007,128.48657531195079436,33295.20319744259984
"USA",33,16,2007,348.78914956866354035,113176.089042404002351
"USA",33,17,2007,644.484580007875380622,183438.530405773362108
"USA",33,18,2007,106.445751191764297386,36960.231681399158958
"USA",33,19,2007,13.59560596871745116,4306.711406655243994
"USA",33,20,2007,75.960615397161480356,29243.159025776331796
"USA",33,21,2007,125.537539042695128574,46808.600887668773778
"USA",33,22,2007,155.90135146895619719,54105.793612970749801
"USA",33,23,2007,92.33318844599399723,20695.98743292438368
"USA",33,24,2007,0.17628154514756944,13.946585953860357
"USA",33,25,2007,0.55660754249131953,98.92662019515514
"USA",33,26,2007,206.95009224397964069,64019.437237903478965
"USA",33,27,2007,24.89851821643881320,7299.791843739552136
"USA",33,28,2007,44.73537201012152192,15496.297026493151185
"USA",33,29,2007,54.69580192640403915,15888.88121905539886
"USA",33,30,2007,26.59001943865885283,7850.817737143203405
"USA",33,31,2007,21.49628713439670706,7228.94389156601763
"USA",33,33,2007,30.01897707931642666,5336.751253278088138
"USA",33,34,2007,78.51576467398656256,25217.03562007104971
"USA",33,35,2007,58.85641636992188412,15251.966853762068484
